source,target,weight
p2b1.cpp,n1b1.cpp,0.4845360824742268
p2b1.cpp,p1.cpp,0.42857142857142855
p2b1.cpp,n3b1.cpp,0.26229508196721313
p2b1.cpp,n1.cpp,0.3879310344827586
p2b1.cpp,o1b2.cpp,0.6052631578947368
p2b1.cpp,n3.cpp,0.5043478260869565
p2b1.cpp,p3.cpp,0.5526315789473685
p2b1.cpp,o2.cpp,0.5063291139240507
p2b1.cpp,p1b1.cpp,0.4657534246575342
p2b1.cpp,o3.cpp,0.5419354838709678
p2b1.cpp,o1.cpp,0.5751633986928104
p2b1.cpp,p2.cpp,0.8333333333333334
p2b1.cpp,p1b2.cpp,0.36363636363636365
p2b1.cpp,o1b1.cpp,0.6308724832214765
p2b1.cpp,n2.cpp,0.5517241379310345
n1b1.cpp,p1.cpp,0.189873417721519
n1b1.cpp,n3b1.cpp,0.10738255033557047
n1b1.cpp,n1.cpp,0.8125
n1b1.cpp,o1b2.cpp,0.6
n1b1.cpp,n3.cpp,0.5320197044334976
n1b1.cpp,p3.cpp,0.2682926829268293
n1b1.cpp,o2.cpp,0.6260162601626016
n1b1.cpp,p1b1.cpp,0.2111801242236025
n1b1.cpp,o3.cpp,0.6502057613168725
n1b1.cpp,o1.cpp,0.5892116182572614
n1b1.cpp,p2.cpp,0.44565217391304346
n1b1.cpp,p1b2.cpp,0.15584415584415584
n1b1.cpp,o1b1.cpp,0.6160337552742616
n1b1.cpp,n2.cpp,0.6094420600858369
p1.cpp,n3b1.cpp,0.56
p1.cpp,n1.cpp,0.15306122448979592
p1.cpp,o1b2.cpp,0.29310344827586204
p1.cpp,n3.cpp,0.35443037974683544
p1.cpp,p3.cpp,0.6
p1.cpp,o2.cpp,0.26229508196721313
p1.cpp,p1b1.cpp,0.8108108108108109
p1.cpp,o3.cpp,0.23529411764705882
p1.cpp,o1.cpp,0.2905982905982906
p1.cpp,p2.cpp,0.43333333333333335
p1.cpp,p1b2.cpp,0.7333333333333333
p1.cpp,o1b1.cpp,0.2831858407079646
p1.cpp,n2.cpp,0.23853211009174313
n3b1.cpp,n1.cpp,0.0855614973262032
n3b1.cpp,o1b2.cpp,0.14953271028037382
n3b1.cpp,n3.cpp,0.22857142857142856
n3b1.cpp,p3.cpp,0.5161290322580645
n3b1.cpp,o2.cpp,0.1415929203539823
n3b1.cpp,p1b1.cpp,0.5
n3b1.cpp,o3.cpp,0.12727272727272726
n3b1.cpp,o1.cpp,0.14814814814814814
n3b1.cpp,p2.cpp,0.27450980392156865
n3b1.cpp,p1b2.cpp,0.6666666666666666
n3b1.cpp,o1b1.cpp,0.15384615384615385
n3b1.cpp,n2.cpp,0.14
n1.cpp,o1b2.cpp,0.5611510791366906
n1.cpp,n3.cpp,0.4730290456431535
n1.cpp,p3.cpp,0.2079207920792079
n1.cpp,o2.cpp,0.5915492957746479
n1.cpp,p1b1.cpp,0.1708542713567839
n1.cpp,o3.cpp,0.5622775800711743
n1.cpp,o1.cpp,0.5878136200716846
n1.cpp,p2.cpp,0.34234234234234234
n1.cpp,p1b2.cpp,0.125
n1.cpp,o1b1.cpp,0.5381818181818182
n1.cpp,n2.cpp,0.5682656826568265
o1b2.cpp,n3.cpp,0.5590062111801242
o1b2.cpp,p3.cpp,0.36065573770491804
o1b2.cpp,o2.cpp,0.6568627450980392
o1b2.cpp,p1b1.cpp,0.3025210084033613
o1b2.cpp,o3.cpp,0.6865671641791045
o1b2.cpp,o1.cpp,0.8844221105527639
o1b2.cpp,p2.cpp,0.5492957746478874
o1b2.cpp,p1b2.cpp,0.21428571428571427
o1b2.cpp,o1b1.cpp,0.9025641025641026
o1b2.cpp,n2.cpp,0.6282722513089005
n3.cpp,p3.cpp,0.4235294117647059
n3.cpp,o2.cpp,0.6706586826347305
n3.cpp,p1b1.cpp,0.36585365853658536
n3.cpp,o3.cpp,0.5121951219512195
n3.cpp,o1.cpp,0.5925925925925926
n3.cpp,p2.cpp,0.45714285714285713
n3.cpp,p1b2.cpp,0.26666666666666666
n3.cpp,o1b1.cpp,0.5569620253164557
n3.cpp,n2.cpp,0.5584415584415584
p3.cpp,o2.cpp,0.3125
p3.cpp,p1b1.cpp,0.6976744186046512
p3.cpp,o3.cpp,0.32
p3.cpp,o1.cpp,0.3252032520325203
p3.cpp,p2.cpp,0.5757575757575758
p3.cpp,p1b2.cpp,0.5
p3.cpp,o1b1.cpp,0.35294117647058826
p3.cpp,n2.cpp,0.3130434782608696
o2.cpp,p1b1.cpp,0.272
o2.cpp,o3.cpp,0.6859903381642513
o2.cpp,o1.cpp,0.6926829268292682
o2.cpp,p2.cpp,0.44594594594594594
o2.cpp,p1b2.cpp,0.2033898305084746
o2.cpp,o1b1.cpp,0.6567164179104478
o2.cpp,n2.cpp,0.6294416243654822
p1b1.cpp,o3.cpp,0.2786885245901639
p1b1.cpp,o1.cpp,0.3
p1b1.cpp,p2.cpp,0.5396825396825397
p1b1.cpp,p1b2.cpp,0.5454545454545454
p1b1.cpp,o1b1.cpp,0.3103448275862069
p1b1.cpp,n2.cpp,0.26785714285714285
o3.cpp,o1.cpp,0.6633663366336634
o3.cpp,p2.cpp,0.5655172413793104
o3.cpp,p1b2.cpp,0.19130434782608696
o3.cpp,o1b1.cpp,0.7070707070707071
o3.cpp,n2.cpp,0.6494845360824743
o1.cpp,p2.cpp,0.48951048951048953
o1.cpp,p1b2.cpp,0.21238938053097345
o1.cpp,o1b1.cpp,0.8673469387755102
o1.cpp,n2.cpp,0.625
p2.cpp,p1b2.cpp,0.35714285714285715
p2.cpp,o1b1.cpp,0.5467625899280576
p2.cpp,n2.cpp,0.4740740740740741
p1b2.cpp,o1b1.cpp,0.22018348623853212
